CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
New category,2012,,V. Gontis via Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, GDP per capita ,,,PPS,,,,,,,,,,,,,,,,,33300,,,,,,,30500,,,,,,,,,,,12100,,,,,,,,,,,,,,,,,,15600,,23200,20200,,,32000,,,,,,,,,17500,,,29100,27500,,,,31100,,,19200,,,,,,,,,,16800,28700,,,,,33200,,25200,,,,,,,,,,,,,,,,17800,69400,,,,,,,22000,,,,,,,,,,,,,,,,32800,,,,,,,49900,,,,,,,,,,16800,19200,,,,12600,,,,,,,,,,,,,,,19200,21000,,,,24900,,,,,32800,40800,,,,,,,,,,,,,,,,,,28400,,37900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Relative GDP growth,,,GDP(1995),,,,,,,,,,,,,,,,,1.69035533,,,,,,,1.613756614,,,,,,,,,,,2.630434783,,,,,,,,,,,,,,,,,,2.328358209,,1.8125,1.803571429,,,1.658031088,,,,,,,,,3.301886792,,,1.841772152,1.617647059,,,,1.645502646,,,1.56097561,,,,,,,,,,2.24,1.471794872,,,,,2.184210526,,1.415730337,,,,,,,,,,,,,,,,3.423076923,2.128834356,,,,,,,1.679389313,,,,,,,,,,,,,,,,1.812154696,,,,,,,2.52020202,,,,,,,,,,2.666666667,1.699115044,,,,2.470588235,,,,,,,,,,,,,,,2.742857143,1.926605505,,,,1.858208955,,,,,1.792349727,1.781659389,,,,,,,,,,,,,,,,,,1.680473373,,1.61965812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Gross earning/GDP,,,PPS/PPS,,,,,,,,,,,,,,,,,1.153222222,,,,,,,1.360689836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79035396,,,1.147382813,,,,,,,,,0.803178286,,,1.142964605,1.210030182,,,,1.396678135,,,1.094090104,,,,,,,,,,0.910335119,1.153930662,,,,,0.844807229,,1.098487698,,,,,,,,,,,,,,,,,0.601297695,,,,,,,,,,,,,,,,,,,,,,,1.308071951,,,,,,,0.843691583,,,,,,,,,,0.947411905,0.940385417,,,,,,,,,,,,,,,,,,,0.70689375,0.955802381,,,,1.056306827,,,,,1.034289329,1.079805882,,,,,,,,,,,,,,,,,,1.427639085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Average growth rate per year,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Average gross earning/GDP,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,32400,,,,,,,29900,,,,,,,,,,,11600,,,,,,,,,,,,,,,,,,15200,,23700,20100,,,31500,,,,,,,,,16900,,,28700,27300,,,,30300,,,19900,,,,,,,,,,16500,28100,,,,,32600,,25100,,26000,,,,,,,,14700,,,,,,16600,68100,,,,,,,21800,,,,,,,,,,,,,,,,32700,,,,,,,46900,,,,,,,,,,16200,19500,,,,11800,,,,,,,,,,,,,,,18500,21000,,,,24700,,,,,31900,39500,,,,,,,,,,,13100,,,,,,,27700,,37100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.644670051,,,,,,,1.582010582,,,,,,,,,,,2.52173913,,,,,,,,,,,,,,,,,,2.268656716,,1.8515625,1.794642857,,,1.632124352,,,,,,,,,3.188679245,,,1.816455696,1.605882353,,,,1.603174603,,,1.617886179,,,,,,,,,,2.2,1.441025641,,,,,2.144736842,,1.41011236,,1.354166667,,,,,,,,3.195652174,,,,,,3.192307692,2.088957055,,,,,,,1.664122137,,,,,,,,,,,,,,,,1.806629834,,,,,,,2.368686869,,,,,,,,,,2.571428571,1.725663717,,,,2.31372549,,,,,,,,,,,,,,,2.642857143,1.926605505,,,,1.843283582,,,,,1.743169399,1.72489083,,,,,,,,,,,2.977272727,,,,,,,1.639053254,,1.585470085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.139046914,,,,,,,1.287801338,,,,,,,,,,,0.756643966,,,,,,,,,,,,,,,,,,,,,0.768005473,,,1.137065079,,,,,,,,,0.753157396,,,1.157975261,1.191824542,,,,1.402994719,,,0.82661608,,,,,,,,,,0.884587879,1.081284698,,,,,0.866028528,,1.10752988,,,,,,,,,,0.790218367,,,,,,0.636533735,0.595803818,,,,,,,1.160399541,,,,,,,,,,,,,,,,1.297524465,,,,,,,0.85650661,,,,,,,,,,0.973578395,1.035986667,,,,0.837500847,,,,,,,,,,,,,,,0.721458919,0.947002381,,,,1.05087166,,,,,1.030906897,0.993370127,,,,,,,,,,,,,,,,,,1.398570758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,31100,,,,,,,29200,,,,,,,,,,,10700,,,,,,,,,,,,,,,,,,14300,,23600,19500,,,31300,,,,,,,,,15500,,,27700,26500,,,,29000,,,21200,,,,,,,,,,15900,27300,,,,,31300,,24700,,25800,,,,,,,,13200,,,,,,14900,65200,,,,,,,21200,,,,,,,,,,,,,,,,32000,,,,,,,44300,,,,,,,,,,15300,19700,,,,11400,,,,,,,,,,,,,,,17900,20500,,,,24300,,,,,30200,37600,,,,,,,,,,,12200,,,,,,,27500,,36100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.578680203,,,,,,,1.544973545,,,,,,,,,,,2.326086957,,,,,,,,,,,,,,,,,,2.134328358,,1.84375,1.741071429,,,1.621761658,,,,,,,,,2.924528302,,,1.753164557,1.558823529,,,,1.534391534,,,1.723577236,,,,,,,,,,2.12,1.4,,,,,2.059210526,,1.387640449,,1.34375,,,,,,,,2.869565217,,,,,,2.865384615,2,,,,,,,1.618320611,,,,,,,,,,,,,,,,1.767955801,,,,,,,2.237373737,,,,,,,,,,2.428571429,1.743362832,,,,2.235294118,,,,,,,,,,,,,,,2.557142857,1.880733945,,,,1.813432836,,,,,1.650273224,1.641921397,,,,,,,,,,,2.772727273,,,,,,,1.627218935,,1.542735043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.156419936,,,,,,,1.273780137,,,,,,,,,,,0.718406542,,,,,,,,,,,,,,,,,,,,,0.809228718,,,1.131792652,,,,,,,,,0.823383871,,,1.174452708,1.175766792,,,,1.402988966,,,1.009923585,,,,,,,,,,0.875860377,1.071215751,,,,,0.873239936,,1.103391498,,,,,,,,,,0.89782197,,,,,,0.715530201,0.630729141,,,,,,,1.073612736,,,,,,,,,,,,,,,,1.331519688,,,,,,,0.898429345,,,,,,,,,,0.944694771,1.005899492,,,,0.834511404,,,,,,,,,,,,,,,0.731795531,0.982192195,,,,1.054751029,,,,,1.067198675,0.980471277,,,,,,,,,,,,,,,,,,1.450097455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS,,,,,,,,,,,,,,,,,29500,,,,,,,27700,,,,,,,,,,,10300,,,,,,,,,,,,,,,,,,14500,,23500,19400,,,29000,,,,,,,,,14700,,,26900,25600,,,,27000,,,22100,,,,,,,,,,15300,28300,,,,,30200,,24400,,24000,,,,,,,,12700,,,,,,13600,60000,,,,,,,19800,,,,,,,,,,,,,,,,31000,,,,,,,41500,,,,,,,,,,14200,18800,,,,11100,,,,,,,,,,,,,,,17100,20300,,,,24200,,,,,28200,35200,,,,,,,,,,,10900,,,,,,,26300,,34400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,GDP(1995),,,,,,,,,,,,,,,,,1.497461929,,,,,,,1.465608466,,,,,,,,,,,2.239130435,,,,,,,,,,,,,,,,,,2.164179104,,1.8359375,1.732142857,,,1.502590674,,,,,,,,,2.773584906,,,1.702531646,1.505882353,,,,1.428571429,,,1.796747967,,,,,,,,,,2.04,1.451282051,,,,,1.986842105,,1.370786517,,1.25,,,,,,,,2.760869565,,,,,,2.615384615,1.840490798,,,,,,,1.511450382,,,,,,,,,,,,,,,,1.712707182,,,,,,,2.095959596,,,,,,,,,,2.253968254,1.663716814,,,,2.176470588,,,,,,,,,,,,,,,2.442857143,1.862385321,,,,1.805970149,,,,,1.540983607,1.537117904,,,,,,,,,,,2.477272727,,,,,,,1.556213018,,1.47008547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.191925763,,,,,,,1.30568231,,,,,,,,,,,0.736350485,,,,,,,,,,,,,,,,,,,,,0.785015979,,,1.172806897,,,,,,,,,0.842870068,,,1.139387361,1.167435547,,,,1.438379259,,,0.869302262,,,,,,,,,,0.884085621,1.053935336,,,,,0.835479139,,1.065631148,,,,,,,,,,0.88670315,,,,,,0.765227206,0.663123667,,,,,,,1.083107071,,,,,,,,,,,,,,,,1.31420871,,,,,,,0.918649398,,,,,,,,,,0.980650704,1.027432447,,,,0.779292793,,,,,,,,,,,,,,,0.73018655,0.938734975,,,,1.021162397,,,,,1.123380142,1.020142045,,,,,,,,,,,,,,,,,,1.497058935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,%,,,,,,,,,,,,,,,,,3.136044453,,,,,,,2.855084846,,,,,,,,,,,5.854055702,,,,,,,,,,,,,,,,,,5.097204536,,3.560186631,3.530108096,,,3.018972946,,,,,,,,,7.279174323,,,3.657829742,2.869654388,,,,2.973019104,,,2.654086394,,,,,,,,,,4.858302924,2.29946671,,,,,4.702849147,,2.0660266,,1.912981557,,,,,,,,7.531318001,,,,,,7.506883919,4.544806461,,,,,,,3.096565842,,,,,,,,,,,,,,,,3.559025967,,,,,,,5.587825116,,,,,,,,,,5.939272013,3.167407384,,,,5.464404327,,,,,,,,,,,,,,,6.114970619,3.932773654,,,,3.712019522,,,,,3.492105086,3.455692714,,,,,,,,,,,7.056653528,,,,,,,3.100479341,,2.877172795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,PPS/PPS,,,,,,,,,,,,,,,,,1.121429234,,,,,,,1.295532413,,,,,,,,,,,0.701781356,,,,,,,,,,,,,,,,,,,,,0.753725996,,,1.187964996,,,,,,,,,0.775876263,,,1.069150081,1.118515427,,,,1.424641695,,,0.837753521,,,,,,,,,,0.806510299,1.02327602,,,,,0.835082993,,1.049616889,,,,,,,,,,0.76856666,,,,,,0.711077041,0.693850928,,,,,,,1.107921867,,,,,,,,,,,,,,,,1.283475758,,,,,,,0.908544594,,,,,,,,,,1.013231354,0.902101139,,,,0.798637181,,,,,,,,,,,,,,,0.742473023,0.907443649,,,,1.041135986,,,,,1.0152258,1.056921615,,,,,,,,,,,,,,,,,,1.398635077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
